,0,1,2,3,4,5,6,7,8,9,10,11
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,1,詹姆斯-哈登,火箭,36.50,10.70-24.10,44.2%,4.90-13.30,37%,10.30-11.80,86.7%,50,37.50
2,2,安东尼-戴维斯,鹈鹕,29.30,10.50-20.60,50.8%,1.00-3.00,32.5%,7.40-9.10,81.2%,41,37.00
3,3,斯蒂芬-库里,勇士,29.20,9.80-19.80,49.3%,5.20-11.60,45.1%,4.40-4.80,92.3%,41,34.30
4,4,保罗-乔治,雷霆,28.00,9.30-20.70,45%,3.80-9.20,40.6%,5.70-6.80,83.3%,52,36.10
5,5,凯文-杜兰特,勇士,27.50,9.60-19.00,50.5%,1.90-5.00,36.6%,6.40-7.10,90.8%,52,35.50
6,6,乔尔-恩比德,76人,27.40,9.00-18.70,48.3%,1.20-4.00,29.9%,8.20-10.20,80.7%,50,33.70
7,7,科怀-伦纳德,猛龙,27.30,9.40-18.90,49.6%,1.80-4.90,37.1%,6.70-7.80,86.2%,41,34.90
8,8,扬尼斯-阿德托昆博,雄鹿,26.70,9.80-17.10,57.2%,0.50-2.40,19.3%,6.60-9.20,71.8%,49,33.10
9,9,达米安-利拉德,开拓者,26.40,8.70-19.30,45%,2.80-7.70,37.2%,6.20-6.80,90.8%,51,35.30
10,10,布雷克-格里芬,活塞,26.10,8.90-18.60,47.7%,2.40-6.70,36.3%,5.90-7.80,76%,51,36.30
11,11,德文-布克,太阳,24.90,8.80-19.00,46.3%,2.10-6.50,32.4%,5.10-6.10,84.4%,42,34.80
12,12,布拉德利-比尔,奇才,24.80,9.20-19.60,46.9%,2.60-7.20,35.4%,3.80-4.80,79.4%,53,37.00
13,13,肯巴-沃克,黄蜂,24.70,8.60-19.80,43.3%,3.20-8.90,36.2%,4.40-5.30,82.6%,53,34.40
14,14,凯里-欧文,凯尔特人,23.80,9.10-18.10,50.3%,2.60-6.30,40.8%,3.00-3.50,85.4%,45,32.80
15,15,扎克-拉文,公牛,22.80,8.10-17.80,45.4%,1.70-5.00,34.3%,4.90-5.70,86.6%,46,33.80
16,15,卡尔-安东尼-唐斯,森林狼,22.80,8.20-16.40,50.2%,1.70-4.60,37.3%,4.60-5.50,84.5%,53,33.20
17,17,多诺万-米切尔,爵士,22.40,8.20-19.40,42.1%,2.20-6.70,32.4%,3.90-4.90,79.6%,50,33.20
18,18,克莱-汤普森,勇士,21.80,8.60-18.40,46.5%,2.90-7.50,38.3%,1.80-2.30,81%,51,34.20
19,19,拉塞尔-威斯布鲁克,雷霆,21.40,8.10-19.50,41.7%,1.10-4.50,24.8%,4.00-6.20,64.3%,45,35.50
20,20,德马尔-德罗赞,马刺,21.30,8.20-17.60,46.4%,0.10-0.80,17.1%,4.80-5.80,82%,51,35.20
21,21,拉马库斯-阿尔德里奇,马刺,21.20,8.30-16.10,51.5%,0.10-0.40,19%,4.50-5.30,85.5%,55,32.60
22,22,CJ-麦科勒姆,开拓者,21.00,8.20-17.80,46.3%,2.10-6.00,35.9%,2.30-2.80,82.8%,51,34.00
23,22,朱-霍勒迪,鹈鹕,21.00,8.10-17.10,47.6%,1.60-5.10,32.2%,3.10-4.10,75.8%,54,36.70
24,24,托拜厄斯-哈里斯,快船,20.90,7.70-15.60,49.6%,2.00-4.70,43.4%,3.50-4.00,87.7%,55,34.60
25,25,卢卡-东契奇,独行侠,20.70,6.90-15.80,43.5%,2.40-6.80,35.2%,4.50-6.20,73.1%,50,32.10
26,26,尼古拉-武切维奇,魔术,20.60,8.70-16.80,52%,1.10-3.00,38%,2.10-2.70,77.5%,53,31.40
27,27,迈克-康利,灰熊,20.40,6.90-16.00,43.3%,2.20-6.10,36.5%,4.20-5.00,84.6%,53,33.80
28,27,巴迪-希尔德,国王,20.40,7.60-15.90,47.9%,3.50-7.50,45.9%,1.80-2.00,86.1%,53,31.60
29,29,尼古拉-约基奇,掘金,20.10,7.60-15.10,50.6%,1.10-3.60,30.3%,3.80-4.50,84.5%,52,31.30
30,30,朱利叶斯-兰德尔,鹈鹕,19.90,7.30-13.40,54.4%,0.60-1.90,31.8%,4.70-6.40,73.8%,47,29.60
31,31,丹吉洛-拉塞尔,篮网,19.60,7.70-17.50,43.7%,2.70-7.20,37.4%,1.70-2.00,81.8%,54,29.70
32,32,吉米-巴特勒,76人,19.50,6.90-14.40,47.7%,1.30-3.50,37%,4.40-5.20,85.3%,42,33.40
33,33,路易斯-威廉姆斯,快船,19.40,6.20-14.80,42.1%,1.40-3.80,37%,5.60-6.20,89.9%,49,26.10
34,34,小蒂姆-哈达威,独行侠,19.10,6.10-15.80,38.8%,2.50-7.30,34.7%,4.30-5.10,85.4%,46,32.60
35,35,达尼罗-加里纳利,快船,19.00,5.80-12.80,45%,2.40-5.40,44.6%,5.00-5.60,90.6%,44,31.30
36,36,凯尔-库兹马,湖人,18.60,7.10-15.30,46.3%,1.80-6.00,30.2%,2.70-3.50,76.1%,50,32.60
37,37,贾马尔-默里,掘金,18.50,7.00-16.10,43.2%,1.90-5.30,36.5%,2.60-3.10,83.6%,47,33.50
38,38,德里克-罗斯,森林狼,18.30,7.10-14.90,47.8%,1.40-3.30,41.1%,2.70-3.20,85.4%,39,28.70
39,38,JJ-雷迪克,76人,18.30,6.20-13.80,44.6%,3.10-8.00,38.4%,2.90-3.30,90.2%,50,31.10
40,40,TJ-沃伦,太阳,18.00,6.90-14.20,48.6%,1.80-4.20,42.8%,2.30-2.90,81.5%,43,31.60
41,41,哈里森-巴恩斯,独行侠,17.80,6.00-14.70,40.6%,2.50-6.30,39%,3.40-4.10,83.3%,48,32.50
42,42,安德鲁-威金斯,森林狼,17.70,6.50-16.40,39.4%,1.60-4.80,33.2%,3.20-4.40,71.8%,49,34.70
43,43,克林特-卡佩拉,火箭,17.60,7.50-11.90,63.1%,0.00-0.00,0%,2.60-4.10,62.6%,42,34.20
44,44,达龙-福克斯,国王,17.50,6.30-13.50,46.5%,1.10-2.90,36.8%,3.90-5.30,72.8%,52,31.50
45,45,约什-理查德森,热火,17.30,5.90-14.70,40.2%,2.40-6.60,37.1%,3.00-3.50,86.5%,49,34.60
46,45,克里斯-米德尔顿,雄鹿,17.30,6.20-14.00,44.1%,2.30-6.10,38%,2.70-3.10,84.7%,50,31.10
47,47,斯潘塞-丁威迪,篮网,17.20,5.60-12.20,46.1%,2.00-5.30,36.6%,4.00-5.10,79.5%,49,28.60
48,48,布兰登-英格拉姆,湖人,17.10,6.60-13.60,48.7%,0.50-1.70,29.2%,3.40-5.20,65.3%,43,33.30
49,49,本-西蒙斯,76人,17.00,6.90-12.00,57.4%,0.00-0.00,0%,3.30-5.50,59%,53,33.90
50,50,特雷-杨,老鹰,16.80,5.80-14.20,40.7%,1.70-5.60,30.3%,3.50-4.40,80.3%,53,30.00
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,50,安德烈-德拉蒙德,活塞,16.80,7.10-13.70,51.7%,0.10-0.60,12.5%,2.60-4.80,54.2%,50,32.90
2,52,乔丹-克拉克森,骑士,16.60,6.50-14.50,45.1%,1.80-5.30,33.6%,1.70-2.10,82.1%,53,26.50
3,53,博扬-波格丹诺维奇,步行者,16.40,5.90-12.00,49%,2.00-4.60,43.1%,2.70-3.30,82.6%,54,31.80
4,54,杰森-塔特姆,凯尔特人,16.30,6.00-13.30,45.1%,1.60-4.30,37.2%,2.70-3.10,86.3%,54,31.00
5,54,德安德烈-艾顿,太阳,16.30,7.10-12.10,58.9%,0.00-0.10,0%,2.00-2.60,77.5%,49,30.90
6,56,埃里克-戈登,火箭,16.10,5.60-14.50,39%,2.70-8.40,31.8%,2.20-2.80,78.4%,41,32.70
7,56,赛尔吉-伊巴卡,猛龙,16.10,6.70-12.80,52.8%,0.70-2.50,26.2%,2.00-2.60,78.6%,51,28.90
8,58,阿龙-戈登,魔术,15.80,6.00-13.30,45.1%,1.50-4.50,34.5%,2.30-3.30,71.3%,50,33.80
9,58,埃里克-布莱索,雄鹿,15.80,6.10-12.50,48.9%,1.50-4.80,30%,2.10-2.80,77.1%,51,29.30
10,60,丹尼斯-施罗德,雷霆,15.70,5.90-13.90,42.6%,1.50-4.20,36.1%,2.40-2.80,83.1%,52,28.30
11,60,蒙特雷兹-哈勒尔,快船,15.70,6.30-10.10,62.1%,0.00-0.20,12.5%,3.00-5.00,61.3%,55,26.20
12,60,马克-加索尔,灰熊,15.70,5.70-12.90,44.4%,1.40-4.20,34.4%,2.90-3.80,75.6%,53,33.70
13,63,马尔科姆-布罗格登,雄鹿,15.60,6.00-11.70,51%,1.50-3.70,41.5%,2.20-2.30,94.6%,48,29.40
14,64,帕斯卡尔-西亚卡姆,猛龙,15.40,6.00-10.80,55.7%,0.80-2.30,33.1%,2.70-3.40,78.6%,54,31.20
15,65,史蒂文-亚当斯,雷霆,15.30,6.50-10.70,60.7%,0.00-0.00,0%,2.30-4.20,55.7%,51,34.10
16,66,优素福-努尔基奇,开拓者,15.20,5.70-11.30,50.1%,0.10-0.50,12%,3.80-5.00,75.3%,51,27.40
17,67,鲁迪-戈贝尔,爵士,15.10,5.60-8.60,65%,0.00-0.00,0%,3.90-6.00,65.2%,54,31.50
18,68,埃文-富尼耶,魔术,14.90,5.70-13.20,42.9%,2.00-5.80,33.9%,1.60-2.10,77.7%,53,31.40
19,68,杰里米-兰姆,黄蜂,14.90,5.50-12.30,44.3%,1.30-4.00,33.8%,2.60-3.10,86.3%,50,28.50
20,68,波格丹-波格丹诺维奇,国王,14.90,5.50-12.90,42.5%,1.90-5.60,34.1%,2.00-2.40,81.8%,41,27.80
21,71,马库斯-莫里斯,凯尔特人,14.80,5.30-11.10,48%,2.20-5.20,41.4%,1.90-2.20,87.2%,49,27.50
22,72,伊曼纽尔-穆迪埃,尼克斯,14.70,5.60-12.40,45.3%,1.00-3.40,30.8%,2.40-3.20,76%,39,26.60
23,72,雷吉-杰克逊,活塞,14.70,5.10-12.50,40.7%,2.00-5.70,34.8%,2.60-3.00,87.3%,53,29.10
24,74,科林-塞克斯顿,骑士,14.60,5.60-13.80,40.5%,1.00-2.50,38.5%,2.40-2.90,85.2%,54,29.90
25,75,特伦斯-罗斯,魔术,14.40,5.30-12.40,43.1%,2.40-6.30,37.7%,1.30-1.50,85%,54,26.50
26,76,多曼塔斯-萨博尼斯,步行者,14.30,5.60-9.40,60%,0.10-0.20,58.3%,2.90-3.90,74.5%,52,24.80
27,76,贾巴里-帕克,公牛,14.30,5.60-11.90,47.4%,0.90-2.90,32.5%,2.00-2.80,73.1%,39,26.70
28,78,鲁迪-盖伊,马刺,14.20,5.70-11.00,51.8%,1.00-2.50,41.1%,1.80-2.00,86.8%,45,27.20
29,78,凯尔-洛瑞,猛龙,14.20,4.70-11.50,41%,2.20-6.80,32.6%,2.60-3.10,84.1%,43,34.30
30,80,埃内斯-坎特,尼克斯,14.00,5.70-10.60,53.6%,0.20-0.50,31.8%,2.40-2.90,81.4%,44,25.60
31,81,德维恩-韦德,热火,13.80,5.20-12.10,42.5%,1.20-3.70,32.9%,2.30-3.20,70.7%,41,25.40
32,81,凯利-乌布雷,太阳,13.80,4.90-11.20,43.4%,1.50-4.80,32.3%,2.50-3.20,78.4%,53,26.80
33,83,小贾伦-杰克逊,灰熊,13.60,5.10-10.00,50.8%,0.80-2.40,34.6%,2.60-3.40,77%,54,26.00
34,84,肯特-贝兹莫尔,老鹰,13.50,4.90-11.00,44.3%,1.50-4.50,32.8%,2.30-3.00,74.8%,39,26.30
35,85,迈尔斯-特纳,步行者,13.40,5.40-10.60,50.5%,0.90-2.20,38.5%,1.80-2.50,70.7%,49,28.20
36,86,乔-哈里斯,篮网,13.30,4.80-9.90,48.8%,2.30-5.10,45.3%,1.30-1.50,84.2%,50,29.70
37,87,马文-巴格利,国王,13.20,5.20-10.00,51.9%,0.30-1.30,24%,2.50-3.80,66.9%,39,24.10
38,88,威利-考利-斯坦,国王,13.10,5.60-10.40,54.1%,0.00-0.00,50%,1.90-3.30,55.9%,53,28.40
39,89,杰拉米-格兰特,雷霆,13.00,4.90-9.50,51.9%,1.10-3.10,36.4%,2.10-3.00,69.2%,53,32.20
40,90,里基-卢比奥,爵士,12.90,4.50-11.10,40.2%,1.40-4.20,32.5%,2.60-3.00,85.2%,47,28.70
41,91,韦斯利-马修斯,尼克斯,12.80,4.30-10.60,40.6%,2.20-5.90,37.4%,2.00-2.50,79.1%,46,29.70
42,92,杰伦-布朗,凯尔特人,12.70,4.80-10.70,44.9%,1.20-3.70,32.6%,1.80-2.70,67.9%,49,26.00
43,92,哈桑-怀特塞德,热火,12.70,5.50-10.00,54.6%,0.00-0.30,13.3%,1.60-4.00,41.6%,45,25.50
44,92,赛迪斯-杨,步行者,12.70,5.60-10.40,53.5%,0.50-1.40,33.8%,1.10-1.70,61.7%,54,30.00
45,95,切迪-奥斯曼,骑士,12.60,4.60-10.80,42.4%,1.50-4.70,32.4%,1.90-2.50,75.8%,51,31.50
46,95,奥托-波特,奇才,12.60,4.90-10.80,45.7%,1.60-4.30,36.9%,1.20-1.60,76.6%,41,29.00
47,95,艾尔-霍弗德,凯尔特人,12.60,5.30-10.00,53.3%,1.10-3.00,35.8%,0.80-1.00,77.8%,44,28.30
48,98,凯文-诺克斯,尼克斯,12.50,4.50-12.00,37%,1.60-4.90,33.9%,2.00-2.80,71.1%,46,27.90
49,98,杰夫-格林,奇才,12.50,4.40-9.20,47.3%,1.50-4.10,36.5%,2.20-2.50,89.7%,51,27.80
50,100,特雷沃-阿里扎,奇才,12.40,4.20-10.90,38.5%,2.20-6.50,33.3%,1.80-2.30,80.4%,49,35.50
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,101,伊托万-摩尔,鹈鹕,12.30,5.00-10.40,48.3%,1.40-3.30,41.7%,0.90-1.10,76%,44,29.40
2,101,贾斯蒂斯-温斯洛,热火,12.30,4.70-11.00,43%,1.40-3.70,38.6%,1.50-2.20,66.3%,46,29.40
3,103,布鲁克-洛佩斯,雄鹿,12.20,4.30-9.50,45.9%,2.50-6.50,38.8%,1.00-1.30,80.3%,52,27.80
4,103,罗德尼-胡德,开拓者,12.20,4.30-10.10,42.7%,1.20-3.40,36.2%,2.30-2.50,91.2%,45,27.40
5,105,雷吉-布洛克,活塞,12.10,4.10-10.00,41.3%,2.60-6.70,38.8%,1.30-1.50,87.5%,44,30.80
6,105,布林-福布斯,马刺,12.10,4.50-10.10,44.9%,2.20-5.20,42%,0.90-1.00,89.1%,55,28.80
7,107,杰-克劳德,爵士,12.00,3.90-10.00,39.5%,2.20-6.50,33.2%,1.90-2.80,69.9%,53,27.60
8,107,保罗-米尔萨普,掘金,12.00,4.40-9.10,48.5%,0.70-1.90,35.3%,2.50-3.50,72.3%,44,25.70
9,109,乔-英格尔斯,爵士,11.80,4.20-9.80,43.1%,2.00-5.60,36.2%,1.20-1.70,72%,54,31.20
10,110,DJ-奥古斯丁,魔术,11.70,3.70-8.00,46.1%,1.70-3.90,42.8%,2.60-3.00,87.4%,53,28.10
11,111,马利克-比斯利,掘金,11.50,4.40-8.80,50.4%,2.00-4.70,43.3%,0.60-0.70,87.2%,53,23.50
12,112,贾莱特-阿伦,篮网,11.10,4.30-7.40,57.8%,0.10-0.60,15.2%,2.50-3.30,73.4%,53,26.70
13,113,泰勒-约翰逊,热火,11.00,3.90-9.20,42.9%,1.70-4.70,36%,1.40-2.00,69.3%,43,25.40
14,113,马科-贝里内利,马刺,11.00,3.70-8.80,42.3%,2.00-5.10,39.1%,1.60-1.70,91.3%,53,22.40
15,113,德马雷-卡罗尔,篮网,11.00,3.40-8.70,38.7%,1.50-4.60,33.7%,2.70-3.70,74.1%,43,25.10
16,113,德安德烈-乔丹,尼克斯,11.00,4.10-6.40,64.6%,0.00-0.00,0%,2.70-4.00,68.4%,52,30.90
17,117,德里克-费沃斯,爵士,10.90,4.40-7.60,57.6%,0.30-1.10,23.3%,1.90-3.00,65.2%,53,23.10
18,117,何塞-巴里亚,独行侠,10.90,4.20-10.10,41.8%,1.00-3.40,29.7%,1.50-2.00,70.5%,38,19.80
19,117,贾维尔-麦基,湖人,10.90,4.80-8.00,59.9%,0.00-0.20,12.5%,1.30-2.00,65.2%,47,21.60
20,120,林书豪,老鹰,10.80,3.50-7.50,46.8%,0.90-2.60,32.8%,2.90-3.40,84.1%,48,19.70
21,121,戈登-海沃德,凯尔特人,10.70,3.90-9.10,42.6%,1.10-3.60,31.4%,1.90-2.20,84.5%,49,25.80
22,121,约什-杰克逊,太阳,10.70,4.10-9.90,41.2%,0.80-2.60,29.4%,1.70-2.60,66.2%,55,23.80
23,123,马利克-蒙克,黄蜂,10.60,3.70-9.10,40%,1.70-5.00,34.7%,1.50-1.70,89.5%,50,18.70
24,123,蒙特-莫里斯,掘金,10.60,4.30-8.80,49.3%,1.20-2.80,44.3%,0.70-0.90,79.2%,53,25.10
25,123,亚历克-伯克斯,骑士,10.60,3.60-8.90,40.3%,1.20-3.20,37.7%,2.20-2.70,82.4%,51,24.50
26,126,贾斯廷-霍勒迪,灰熊,10.50,3.60-9.80,37.1%,2.10-6.20,34.5%,1.10-1.30,88.7%,55,32.80
27,126,泰瑞克-埃文斯,步行者,10.50,3.80-9.80,38.6%,1.20-3.40,35.6%,1.70-2.30,76.4%,47,20.60
28,128,泰-吉布森,森林狼,10.40,4.30-7.60,56.2%,0.20-0.60,33.3%,1.60-2.20,73.3%,52,25.30
29,129,温德尔-卡特,公牛,10.30,4.10-8.40,48.5%,0.10-0.70,18.8%,2.00-2.50,79.5%,44,25.20
30,129,德维恩-戴德蒙,老鹰,10.30,3.90-8.10,48.4%,1.20-3.20,37.4%,1.30-1.50,86.4%,43,24.70
31,129,马文-威廉姆斯,黄蜂,10.30,3.70-8.80,42%,2.00-5.30,38.1%,0.90-1.30,72.7%,52,28.30
32,129,弗雷德-范弗利特,猛龙,10.30,3.60-9.00,40%,1.60-4.40,36.7%,1.40-1.70,83.1%,49,26.80
