,0,1,2,3,4,5,6,7,8,9,10,11
33,133,肯塔维厄斯-考德威尔-波普,湖人,10.20,3.50-8.10,42.8%,1.60-4.60,34.1%,1.70-2.00,85.8%,54,23.90
34,133,亚历克斯-莱恩,老鹰,10.20,3.90-8.10,48.1%,0.50-1.80,27.9%,1.90-2.80,67.9%,49,19.60
35,133,达伦-科里森,步行者,10.20,3.80-8.10,46.5%,1.10-2.50,42.2%,1.60-2.00,81.7%,54,27.90
36,136,阿朗佐-特里尔,尼克斯,10.10,3.40-7.60,44.7%,0.60-1.70,37.2%,2.60-3.10,84%,46,21.90
37,136,谢伊-吉尔杰斯-亚历山大,快船,10.10,3.90-8.40,46.3%,0.50-1.50,32.1%,1.80-2.20,81.1%,55,26.00
38,138,沙巴兹-内皮尔,篮网,10.00,3.10-8.10,39%,1.40-4.00,34.7%,2.30-2.80,83.5%,43,17.90
39,139,内马尼亚-别利察,国王,9.90,3.80-7.80,48%,1.40-3.40,42.1%,0.90-1.20,76.2%,52,23.60
40,139,朗佐-鲍尔,湖人,9.90,3.90-9.70,40.6%,1.60-4.80,32.9%,0.40-1.00,41.7%,47,30.30
41,141,达里奥-沙里奇,森林狼,9.80,3.50-8.30,41.9%,1.40-4.00,34.5%,1.50-1.70,87.8%,52,24.80
42,141,杰迈克尔-格林,灰熊,9.80,3.70-7.60,48.4%,0.90-2.30,39.6%,1.50-2.00,78.8%,41,22.00
43,143,丹尼-格林,猛龙,9.70,3.50-8.00,44.2%,2.20-5.30,41.8%,0.40-0.50,88.5%,53,28.70
44,143,帕蒂-米尔斯,马刺,9.70,3.40-7.80,42.9%,1.80-4.60,39.7%,1.20-1.40,85.7%,55,23.70
45,145,德里克-怀特,马刺,9.60,3.70-7.40,50%,0.70-1.90,35.6%,1.50-1.90,77%,45,25.30
46,145,托尼-帕克,黄蜂,9.60,3.80-8.30,45.7%,0.20-0.90,22.5%,1.80-2.40,73%,46,18.20
47,147,艾尔-法鲁克-阿米奴,开拓者,9.50,3.10-7.30,43%,1.30-3.70,35.1%,1.90-2.20,83.6%,52,29.60
48,148,加莱特-坦普尔,灰熊,9.40,3.40-7.90,42.9%,1.50-4.30,35.2%,1.20-1.50,75%,49,31.20
49,148,尼古拉斯-巴图姆,黄蜂,9.40,3.40-7.30,46.8%,1.50-3.60,40.5%,1.10-1.30,85.5%,53,31.10
50,150,凯文-赫尔特,老鹰,9.30,3.50-8.30,41.5%,1.80-4.60,39.4%,0.60-0.80,75.6%,49,27.20
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,150,杰拉德-格林,火箭,9.30,3.20-7.90,40.7%,2.20-6.20,34.9%,0.70-0.90,81%,49,21.20
2,150,特雷-莱尔斯,掘金,9.30,3.60-8.40,42.5%,0.80-3.30,25.7%,1.40-2.00,69%,51,18.90
3,150,朗戴-霍利斯-杰弗森,篮网,9.30,3.50-8.60,40.2%,0.20-0.90,22%,2.20-3.30,64.6%,44,22.50
4,154,丹伊恩-多特森,尼克斯,9.20,3.50-8.10,43%,1.40-3.80,38%,0.80-1.20,68.6%,44,24.90
5,155,托马斯-布莱恩特,奇才,9.10,3.70-5.70,64.8%,0.30-0.80,38.9%,1.30-1.60,81.4%,43,18.90
6,155,凯利-奥利尼克,热火,9.10,3.00-6.50,45.7%,1.40-4.20,34.2%,1.80-2.30,77.7%,48,20.20
7,157,伊曼-香珀特,国王,8.90,3.20-8.30,38.2%,1.80-4.80,36.6%,0.80-1.00,82.9%,42,26.20
8,157,凯尔-科沃尔,爵士,8.90,3.00-6.70,44.7%,2.00-4.70,42%,0.90-1.10,83%,48,18.70
9,159,特里-罗齐尔,凯尔特人,8.80,3.20-8.40,38.1%,1.50-4.20,35.4%,1.00-1.20,80%,54,23.00
10,159,小拉里-南斯,骑士,8.80,3.50-6.60,52.9%,0.30-0.90,33.3%,1.50-2.00,71.1%,44,25.40
11,161,罗德尼-麦格鲁德,热火,8.70,3.30-8.00,40.7%,1.40-3.80,36.5%,0.80-1.00,75.5%,47,25.70
12,161,奥斯汀-里弗斯,火箭,8.70,3.20-8.10,39.9%,1.50-4.70,31.8%,0.80-1.40,54.3%,50,28.40
13,163,诺阿-冯莱,尼克斯,8.60,3.00-6.60,45.5%,0.80-2.20,35.3%,1.80-2.50,72.3%,53,26.50
14,163,约什-哈特,湖人,8.60,3.10-7.60,40.9%,1.50-4.50,34%,0.90-1.40,68.1%,53,26.70
15,165,德怀特-鲍威尔,独行侠,8.50,3.10-5.30,58%,0.30-1.40,21.5%,2.00-2.70,73.8%,48,16.60
16,166,马库斯-斯马特,凯尔特人,8.40,2.70-6.60,41.3%,1.60-4.20,37.7%,1.30-1.60,79.3%,53,26.80
17,166,德安德烈-本布里,老鹰,8.40,3.30-7.80,42.9%,0.70-2.30,29%,1.00-1.70,61.8%,53,24.90
18,166,乔纳森-艾萨克,魔术,8.40,3.00-7.30,41.1%,0.80-2.80,26.3%,1.60-1.90,84.6%,48,25.80
19,169,兰德里-沙梅特,76人,8.30,2.80-6.40,44.1%,1.80-4.50,40.4%,0.80-1.00,81.5%,54,20.50
20,170,埃弗里-布拉德利,快船,8.20,3.30-8.60,38.3%,1.20-3.50,33.7%,0.40-0.50,80%,49,29.90
21,171,兰斯顿-加洛韦,活塞,8.10,2.80-7.40,37.8%,1.60-4.80,33.3%,0.90-1.10,80.7%,51,21.50
22,171,巴姆-阿德巴约,热火,8.10,3.00-5.30,56.3%,0.00-0.20,11.1%,2.10-2.80,72.9%,51,22.10
23,171,戴维斯-贝尔坦斯,马刺,8.10,2.80-5.80,48.2%,2.10-4.40,47.2%,0.50-0.60,83.3%,49,20.90
24,171,里乔恩-霍姆斯,太阳,8.10,3.20-4.90,66.4%,0.00-0.00,0%,1.60-2.30,71.7%,49,16.40
25,175,米卡尔-布里奇斯,太阳,8.00,2.90-6.60,43.8%,1.40-3.80,36%,0.80-1.00,80.7%,55,27.40
26,175,凯尔-安德森,灰熊,8.00,3.50-6.40,54.3%,0.20-0.80,26.5%,0.90-1.50,57.8%,43,29.80
27,177,谢尔文-麦克,灰熊,7.90,3.00-7.30,41.4%,0.90-2.40,35.9%,1.00-1.40,70.7%,53,22.70
28,177,达柳斯-米勒,鹈鹕,7.90,2.60-6.60,39.7%,1.90-5.10,37.6%,0.70-0.90,83.7%,49,25.30
29,177,PJ-塔克,火箭,7.90,2.80-6.90,39.8%,1.80-4.90,36.4%,0.60-1.00,64.7%,53,35.40
30,177,马里奥-海佐尼亚,尼克斯,7.90,3.00-7.40,40.6%,0.70-2.50,27.7%,1.20-1.70,69.3%,44,19.00
31,181,安东尼奥-布莱克尼,公牛,7.80,3.00-7.10,42.3%,0.80-1.80,45.7%,0.90-1.40,67.9%,40,14.50
32,181,托马什-萨托兰斯基,奇才,7.80,2.90-5.80,49.4%,0.70-1.70,42.4%,1.30-1.70,78.9%,53,24.00
33,181,梅森-普拉姆利,掘金,7.80,3.20-5.30,59.8%,0.00-0.10,16.7%,1.40-2.60,52.9%,53,20.00
34,181,迈克尔-基德-吉尔克里斯特,黄蜂,7.80,2.90-5.90,48.3%,0.20-0.80,27.8%,1.90-2.40,78%,46,19.80
35,185,多里安-芬尼-史密斯,独行侠,7.70,2.90-6.20,46.1%,1.00-3.00,34.6%,0.90-1.40,66.7%,52,24.60
36,185,埃文-特纳,开拓者,7.70,3.20-6.90,47%,0.10-0.80,16.7%,1.10-1.50,69.2%,51,24.10
37,187,胡安-埃尔南戈麦斯,掘金,7.60,2.60-5.60,46.3%,1.20-3.20,39.8%,1.20-1.60,77.8%,51,23.30
38,187,兰斯-史蒂芬森,湖人,7.60,2.90-6.40,44.6%,1.10-2.90,38.8%,0.80-1.10,67.2%,53,16.20
39,189,乔治-希尔,雄鹿,7.50,2.80-6.20,45%,0.80-2.50,33.7%,1.10-1.40,81.5%,40,22.90
40,189,斯坦利-约翰逊,活塞,7.50,2.80-7.30,38.1%,1.10-3.80,28.2%,0.90-1.10,80.4%,48,20.00
41,191,丹特-埃克萨姆,爵士,7.40,2.60-6.00,43.2%,0.50-1.50,30.5%,1.70-2.20,79.1%,39,16.30
42,191,吉列尔莫-埃尔南戈麦斯,黄蜂,7.40,2.70-5.20,51.9%,0.30-0.70,43.3%,1.60-2.40,67.6%,44,13.80
43,191,迈克-穆斯卡拉,76人,7.40,2.30-5.90,39.2%,1.50-4.20,34.2%,1.30-1.60,81.8%,47,22.10
44,191,詹姆斯-恩尼斯,火箭,7.40,2.60-5.30,50%,1.10-3.00,37.3%,1.00-1.40,71.4%,39,23.60
45,191,小德里克-琼斯,热火,7.40,2.80-5.50,51.2%,0.50-1.40,36.5%,1.20-2.00,61.6%,37,18.10
46,196,奎因-库克,勇士,7.30,2.90-6.30,46.4%,1.10-2.80,39.8%,0.30-0.40,75%,44,14.80
47,196,帕特里克-贝弗利,快船,7.30,2.30-5.90,39.2%,1.40-3.50,38.3%,1.40-1.80,76.8%,55,26.70
48,196,约什-奥科吉,森林狼,7.30,2.40-6.80,35.9%,0.80-3.00,25.4%,1.70-2.20,75.2%,45,22.10
49,199,杰克-莱曼,开拓者,7.10,2.90-5.50,52%,0.90-2.50,35.9%,0.50-0.60,73.1%,41,17.00
50,199,科里-约瑟夫,步行者,7.10,2.90-6.80,43.2%,0.80-2.30,35.2%,0.40-0.60,70%,54,25.70
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,199,扎克-科林斯,开拓者,7.10,2.60-5.50,47.9%,0.60-1.60,34.9%,1.30-1.60,79.8%,52,18.60
2,202,约纳斯-杰雷布科,勇士,7.00,2.50-5.30,47%,1.00-2.90,36.2%,1.00-1.20,82.5%,48,18.70
3,202,OG-阿奴诺比,猛龙,7.00,2.80-6.40,43.4%,1.00-3.20,32.4%,0.40-0.90,42.5%,44,20.00
4,204,安特-日日奇,骑士,6.90,2.70-5.20,52.3%,0.00-0.00,0%,1.50-2.00,73.3%,38,16.00
5,204,乔纳森-西蒙斯,魔术,6.90,2.50-7.00,36.4%,0.50-2.00,22.9%,1.40-1.80,77.8%,41,20.60
6,204,德雷蒙德-格林,勇士,6.90,2.70-6.50,41.1%,0.60-2.40,24.7%,1.00-1.30,73.5%,37,31.20
7,204,德朗-赖特,猛龙,6.90,2.60-6.00,43.3%,0.60-1.80,33.3%,1.10-1.20,86.9%,49,18.30
8,204,凯文-卢尼,勇士,6.90,3.00-4.80,62.3%,0.00-0.20,10%,0.90-1.50,62.3%,52,21.00
9,209,贾斯廷-杰克逊,国王,6.70,2.40-5.70,42.4%,1.10-3.10,34.6%,0.80-1.00,82%,52,20.80
10,209,道格-麦克德莫特,步行者,6.70,2.40-5.10,46.4%,1.10-2.90,38.8%,0.90-1.00,86.5%,51,17.50
11,209,杰伦-布伦森,独行侠,6.70,2.60-6.00,43.4%,0.60-1.80,33.8%,0.90-1.20,69.1%,44,17.30
12,212,迈尔斯-布里奇斯,黄蜂,6.60,2.50-5.70,44.8%,0.70-2.30,31.6%,0.80-1.10,74.1%,51,19.10
13,213,贾马尔-克劳福德,太阳,6.50,2.30-6.20,36.6%,0.80-2.70,28.9%,1.20-1.50,80.9%,45,18.00
14,213,文斯-卡特,老鹰,6.50,2.30-5.60,41.6%,1.40-3.80,38%,0.40-0.60,71.4%,49,15.80
15,213,特伦斯-弗格森,雷霆,6.50,2.40-5.50,43.5%,1.40-3.50,38.9%,0.40-0.60,64%,45,23.80
16,213,TJ-麦康奈尔,76人,6.50,3.00-5.50,54.2%,0.20-0.70,31.3%,0.40-0.50,76.9%,48,21.10
17,217,丹尼尔-泰斯,凯尔特人,6.40,2.50-4.40,55.7%,0.40-1.10,41.9%,1.10-1.50,74.1%,40,15.00
18,217,德文-哈里斯,独行侠,6.40,2.10-5.20,41.7%,0.90-2.80,30.7%,1.20-1.70,73.5%,40,15.10
19,219,托里-克雷格,掘金,6.30,2.40-5.50,43.7%,0.80-2.70,29.2%,0.70-1.00,64%,48,22.90
20,219,塞思-库里,开拓者,6.30,2.40-5.30,44.5%,1.40-2.90,48.5%,0.20-0.20,100%,46,17.80
21,219,托尼-斯内尔,雄鹿,6.30,2.20-4.80,46.2%,1.20-2.90,42%,0.60-0.70,89.2%,52,17.20
22,222,穆罕默德-班巴,魔术,6.20,2.50-5.20,48.1%,0.40-1.50,30%,0.80-1.30,58.7%,47,16.30
23,222,马克西-克勒贝尔,独行侠,6.20,2.20-4.90,44.4%,1.00-2.90,33.6%,0.80-1.00,79.6%,47,19.10
24,224,弗兰克-杰克逊,鹈鹕,6.10,2.30-5.30,44.4%,0.70-2.00,32.5%,0.70-0.90,78.4%,39,14.90
25,224,哈里-贾尔斯,国王,6.10,2.70-5.30,50.2%,0.00-0.10,0%,0.70-1.30,55.8%,40,12.80
26,224,约吉-费雷尔,国王,6.10,2.30-5.00,45.8%,0.80-2.00,39.5%,0.70-0.90,86.5%,43,14.70
27,224,罗宾-洛佩斯,公牛,6.10,2.70-5.10,52.4%,0.10-0.40,27.8%,0.70-1.00,67.4%,45,16.90
28,224,迈耶斯-伦纳德,开拓者,6.10,2.20-4.10,54.5%,0.90-1.90,46.7%,0.70-0.80,87.5%,48,14.60
29,224,尼克-斯陶斯卡斯,骑士,6.10,2.20-5.20,41.9%,1.00-2.80,34.4%,0.70-0.80,88.9%,44,15.30
30,230,瑞安-阿西迪亚科诺,公牛,6.00,2.00-4.70,42.4%,1.10-3.10,37.3%,0.90-1.00,90%,52,25.10
31,230,艾森-伊利亚索瓦,雄鹿,6.00,2.30-5.40,41.7%,0.80-2.20,33.3%,0.70-0.80,87.5%,40,17.40
32,230,富尔坎-科尔克马兹,76人,6.00,2.00-5.20,39.3%,1.00-3.20,32.8%,0.80-1.00,83.3%,43,14.30
33,230,埃德-戴维斯,篮网,6.00,2.40-3.90,62%,0.00-0.00,0%,1.10-1.90,57.3%,54,18.30
34,234,弗朗克-尼利基纳,尼克斯,5.90,2.30-6.70,34.2%,0.80-2.70,29.1%,0.50-0.70,75%,41,21.30
35,235,安德烈-伊格达拉,勇士,5.80,2.20-4.50,48.6%,0.70-2.10,35.4%,0.70-1.10,62.3%,47,23.60
36,235,韦恩-塞尔登,公牛,5.80,2.20-5.20,42%,0.70-2.00,34.4%,0.70-1.00,73.3%,46,16.40
37,237,戈尔吉-吉昂,森林狼,5.60,2.10-4.30,49.6%,0.20-0.80,32.5%,1.00-1.20,88.7%,53,13.60
38,238,沙奎尔-哈里森,公牛,5.50,2.00-5.10,40.1%,0.40-1.30,27.6%,1.00-1.70,62.2%,44,17.40
39,238,CJ-迈尔斯,猛龙,5.50,1.80-5.20,34%,1.10-3.40,31.4%,0.90-1.10,79.5%,40,14.10
40,238,斯特林-布朗,雄鹿,5.50,2.10-4.60,45.8%,0.90-2.40,37%,0.40-0.50,78.9%,41,15.90
41,241,泰厄斯-琼斯,森林狼,5.40,2.10-5.50,38%,0.50-1.70,29.7%,0.70-0.90,84.2%,43,20.30
42,242,阿方索-麦金尼,勇士,5.20,2.10-4.40,48.4%,0.60-1.80,35.4%,0.30-0.70,51.7%,43,14.70
43,242,钱德勒-哈奇森,公牛,5.20,2.20-4.80,45.9%,0.30-1.10,28%,0.50-0.90,60.5%,44,20.30
44,244,雅各布-珀尔特尔,马刺,5.10,2.20-3.50,63.6%,0.00-0.00,0%,0.70-1.30,55.2%,51,14.60
45,245,马尔钦-戈塔特,快船,5.00,2.10-4.00,53.2%,0.00-0.00,0%,0.70-1.00,72.9%,47,16.00
46,245,贾里德-杜德利,篮网,5.00,1.80-4.40,40.5%,0.90-2.80,32.2%,0.50-0.80,62.9%,43,22.00
47,247,纳伦斯-诺埃尔,雷霆,4.90,2.10-3.60,58.2%,0.00-0.00,0%,0.70-1.00,72.9%,49,14.30
48,248,迈克-斯科特,快船,4.80,1.80-4.40,40%,1.00-2.60,39.1%,0.20-0.30,66.7%,52,14.40
49,248,蒂姆-弗雷泽,鹈鹕,4.80,1.80-4.10,43.9%,0.60-1.70,33.8%,0.60-0.80,78.8%,42,18.90
50,248,韦斯利-艾旺杜,魔术,4.80,1.60-4.00,39.8%,0.30-1.00,32.5%,1.30-1.60,81%,40,16.80
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,251,罗伊斯-奥尼尔,爵士,4.70,1.80-3.80,46.2%,0.70-1.80,38.9%,0.40-0.60,72.7%,54,18.30
2,251,布鲁斯-布朗,活塞,4.70,1.80-4.80,37.8%,0.40-1.50,25.4%,0.70-0.90,72.1%,46,19.80
3,253,肖恩-利文斯顿,勇士,4.60,1.90-3.80,48.4%,0.00-0.10,0%,0.90-1.00,81.4%,41,15.40
4,253,扎扎-帕楚里亚,活塞,4.60,1.40-3.20,43.9%,0.00-0.10,0%,1.70-2.30,76.5%,43,14.90
5,255,哈米杜-迪亚洛,雷霆,4.40,1.70-3.70,46.3%,0.10-0.50,17.4%,0.80-1.40,61%,43,11.90
6,256,帕特里克-帕特森,雷霆,4.10,1.40-3.80,38.7%,0.80-2.40,35.2%,0.30-0.60,62.1%,53,14.60
7,256,杰里安-格兰特,魔术,4.10,1.50-3.90,39.2%,0.60-1.90,32.5%,0.50-0.70,67.7%,44,17.60
8,258,泰森-钱德勒,湖人,3.60,1.30-2.10,60.8%,0.00-0.00,0%,1.00-1.70,60.8%,46,17.10
9,258,蒂龙-华莱士,快船,3.60,1.60-3.60,43%,0.10-0.30,14.3%,0.50-0.90,48.7%,41,10.00
10,260,丹特-坎宁安,马刺,3.40,1.30-2.70,47.7%,0.60-1.10,50%,0.20-0.30,78.6%,49,15.80
11,261,谢米-奥杰莱,凯尔特人,3.30,1.20-2.90,42%,0.50-1.70,29.2%,0.40-0.50,70%,39,10.50
12,261,斯维亚托斯拉夫-米哈伊柳克,湖人,3.30,1.10-3.40,33.3%,0.70-2.20,31.8%,0.30-0.50,60%,39,10.80
13,263,乔治-尼昂,爵士,3.10,1.10-2.50,43.1%,0.70-1.80,40%,0.20-0.30,81.8%,40,7.60
14,264,乔丹-贝尔,勇士,2.80,1.30-2.40,52.3%,0.00-0.00,0%,0.30-0.50,66.7%,46,10.90
15,265,何塞-卡尔德隆,活塞,2.60,1.00-2.70,38.1%,0.30-1.30,25%,0.20-0.20,81.8%,44,14.00
16,266,昆西-庞德塞特,马刺,1.90,0.50-1.10,48.8%,0.20-0.40,37.5%,0.70-0.90,77.1%,40,5.50
